dial_M,nombre_canal_descartado,evento_descartado,motivo
?,DAZN (Ver en directo),00:00-Chile-Venezuela,no_dial_detected
?,Antel TV Internacional,00:00-Deportivo Maldonado-CA Juventud,no_dial_detected
?,DAZN (Ver en directo),01:00-Cuba-Uruguay,no_dial_detected
?,DAZN (Ver en directo),01:00-New York Rangers-Columbus Blue Jackets,no_dial_detected
?,LPF Play,01:00-CA Atlanta-Patronato,no_dial_detected
?,CONCACAF YouTube,01:00-Guyana-Haití,no_dial_detected
?,CONCACAF YouTube,01:00-Nicaragua-Jamaica,no_dial_detected
?,NBA League Pass,01:00-Washington Wizards-Houston Rockets,no_dial_detected
?,Tennis TV YouTube,01:10-V. Sachko-M. McDonald,no_dial_detected
?,DAZN (Ver en directo),01:30-Toronto Maple Leafs-Philadelphia Flyers,no_dial_detected
?,DAZN (Ver en directo),01:30-Milwaukee Bucks-Boston Celtics,no_dial_detected
?,NBA League Pass,01:30-Milwaukee Bucks-Boston Celtics,no_dial_detected
73,DAZN Baloncesto (M73 O126),01:30-Milwaukee Bucks-Boston Celtics,mapping_not_found_for: DAZN BALONCESTO
?,Fanatiz (Ver en directo),01:30-Banfield-Aldosivi,no_dial_detected
?,Fanatiz (Ver en directo),01:30-Independiente Rivadavia-River Plate,no_dial_detected
?,Tennis TV YouTube,02:00-J. Leach-MT. Barrios Vera,no_dial_detected
?,CONCACAF YouTube,02:00-Aruba-Canadá,no_dial_detected
?,Tennis TV YouTube,02:20-L. Nardi-T. Svajda,no_dial_detected
?,OneFootball,03:00-Corea del Norte-Uzbekistán,no_dial_detected
?,AFC Asian Cup YouTube,03:00-Corea del Norte-Uzbekistán,no_dial_detected
?,NBA League Pass,03:00-Utah Jazz-Denver Nuggets,no_dial_detected
?,DAZN (Ver en directo),04:00-Vancouver Canucks-Dallas Stars,no_dial_detected
?,DAZN (Ver en directo),04:00-Seattle Kraken-Carolina Hurricanes,no_dial_detected
?,NBA League Pass,04:00-Golden State Warriors-Los Angeles Clippers,no_dial_detected
