acestream_id,dial_M,tvg_id,fecha,hora,evento,competición,nombre_canal,canal_agenda,canal_agenda_real,calidad,lista_negra
3afe1af18f8ff78e9946856911b00c67477052b5,64,M+ Deportes 2 HD,2026-02-08,00:00,00:00-Chile-Serbia,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),HD,no
73d38feaa770d788848ec098470e32670fe55a61,64,M+ Deportes 2 HD,2026-02-08,00:00,00:00-Chile-Serbia,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),FHD,no
acb510858f34c3c6fd5f79395b031abd6885c2b3,64,M+ Deportes 2 HD,2026-02-08,00:00,00:00-Chile-Serbia,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),HD,yes
3774d8feab016ca766b35ea8488e7514ca30e0ee,64,M+ Deportes 2 HD,2026-02-08,00:00,00:00-Chile-Serbia,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),FHD,no
6b15368775693c33c49fab02e7900c1976a5da90,64,M+ Deportes 2 HD,2026-02-08,00:00,00:00-Chile-Serbia,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),HD,no
3afe1af18f8ff78e9946856911b00c67477052b5,64,M+ Deportes 2 HD,2026-02-08,02:00,02:00-Chile-Serbia,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),HD,no
73d38feaa770d788848ec098470e32670fe55a61,64,M+ Deportes 2 HD,2026-02-08,02:00,02:00-Chile-Serbia,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),FHD,no
acb510858f34c3c6fd5f79395b031abd6885c2b3,64,M+ Deportes 2 HD,2026-02-08,02:00,02:00-Chile-Serbia,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),HD,yes
3774d8feab016ca766b35ea8488e7514ca30e0ee,64,M+ Deportes 2 HD,2026-02-08,02:00,02:00-Chile-Serbia,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),FHD,no
6b15368775693c33c49fab02e7900c1976a5da90,64,M+ Deportes 2 HD,2026-02-08,02:00,02:00-Chile-Serbia,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),HD,no
3afe1af18f8ff78e9946856911b00c67477052b5,64,M+ Deportes 2 HD,2026-02-08,11:00,11:00-Hungría-Estados Unidos,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),HD,no
73d38feaa770d788848ec098470e32670fe55a61,64,M+ Deportes 2 HD,2026-02-08,11:00,11:00-Hungría-Estados Unidos,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),FHD,no
acb510858f34c3c6fd5f79395b031abd6885c2b3,64,M+ Deportes 2 HD,2026-02-08,11:00,11:00-Hungría-Estados Unidos,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),HD,yes
3774d8feab016ca766b35ea8488e7514ca30e0ee,64,M+ Deportes 2 HD,2026-02-08,11:00,11:00-Hungría-Estados Unidos,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),FHD,no
6b15368775693c33c49fab02e7900c1976a5da90,64,M+ Deportes 2 HD,2026-02-08,11:00,11:00-Hungría-Estados Unidos,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 2,MOVISTAR DEPORTES 2,M+ Deportes 2 (64),HD,no
37825883ed185365e3194a79207347f6c7bd5ba5,191,M+ Deportes 4,2026-02-08,11:30,11:30-Movistar Estudiantes-Súper Agropal Palencia,Primera FEB Liga Regular,MOVISTAR DEPORTES 4,MOVISTAR DEPORTES 4,M+ Deportes 4 (191),FHD,yes
8b5f9d967384afab226dd759e6e9dfaee9993869,191,M+ Deportes 4,2026-02-08,11:30,11:30-Movistar Estudiantes-Súper Agropal Palencia,Primera FEB Liga Regular,MOVISTAR DEPORTES 4,MOVISTAR DEPORTES 4,M+ Deportes 4 (191),HD,no
4141892f5df7d6474bf0279895ce02b7336c9928,70,DAZN 1 HD,2026-02-08,12:00,12:00-Levante Femenino-At. Madrid Femenino,Liga F,DAZN 1,DAZN 1,DAZN 1 (M70 O113),FHD,no
5b776533534b767a84dfda263825ad10f30a8ec7,70,DAZN 1 HD,2026-02-08,12:00,12:00-Levante Femenino-At. Madrid Femenino,Liga F,DAZN 1,DAZN 1,DAZN 1 (M70 O113),HD,no
1e7f5efc1913efaf7042a9b1a49d1f9adc5bc187,70,DAZN 1 HD,2026-02-08,12:00,12:00-Levante Femenino-At. Madrid Femenino,Liga F,DAZN 1,DAZN 1,DAZN 1 (M70 O113),FHD,no
b03f9310155cf3b4eafc1dfba763781abc3ff025,70,DAZN 1 HD,2026-02-08,12:00,12:00-Levante Femenino-At. Madrid Femenino,Liga F,DAZN 1,DAZN 1,DAZN 1 (M70 O113),FHD,no
36394be1db2e20b5997d987c32fd38c7f0f194b7,70,DAZN 1 HD,2026-02-08,12:00,12:00-Levante Femenino-At. Madrid Femenino,Liga F,DAZN 1,DAZN 1,DAZN 1 (M70 O113),FHD,no
691739972eb3468cf16b25e84dafdeaa40dead6d,70,DAZN 1 HD,2026-02-08,12:00,12:00-Levante Femenino-At. Madrid Femenino,Liga F,DAZN 1,DAZN 1,DAZN 1 (M70 O113),FHD,no
d5b2c6b940cf3df5e8f9dc6f000f0ea23a10b151,70,DAZN 1 HD,2026-02-08,12:00,12:00-Levante Femenino-At. Madrid Femenino,Liga F,DAZN 1,DAZN 1,DAZN 1 (M70 O113),HD,no
2f9211669499f413dab1a490198afab2a9b4b57c,71,DAZN 2 HD,2026-02-08,12:00,12:00-Sevilla FC Femenino-Athletic Femenino,Liga F,DAZN 2,DAZN 2,DAZN 2 (M71 O114),FHD,no
b0eabe0fdd02fdd165896236765a9b753a2ff516,71,DAZN 2 HD,2026-02-08,12:00,12:00-Sevilla FC Femenino-Athletic Femenino,Liga F,DAZN 2,DAZN 2,DAZN 2 (M71 O114),HD,no
fb2dd566824658eeab27aae19a01c09430f1a97d,71,DAZN 2 HD,2026-02-08,12:00,12:00-Sevilla FC Femenino-Athletic Femenino,Liga F,DAZN 2,DAZN 2,DAZN 2 (M71 O114),FHD,no
43004e955731cd3afcc34d24e5178d4b427bff37,71,DAZN 2 HD,2026-02-08,12:00,12:00-Sevilla FC Femenino-Athletic Femenino,Liga F,DAZN 2,DAZN 2,DAZN 2 (M71 O114),FHD,no
6dc4ac4eeae18e9daec433b01db82435cf84c57c,192,M+ Deportes 5,2026-02-08,13:00,13:00-Bulgaria-Bélgica,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 5,MOVISTAR DEPORTES 5,M+ Deportes 5 (192),FHD,no
3230cdca852a10325222e3c546e499e31d547a90,192,M+ Deportes 5,2026-02-08,13:00,13:00-Bulgaria-Bélgica,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 5,MOVISTAR DEPORTES 5,M+ Deportes 5 (192),HD,no
5913205fb6d6d162a50222709aab6129eb7cf916,192,M+ Deportes 5,2026-02-08,13:00,13:00-Bulgaria-Bélgica,Copa Davis Fase de Clasificación,MOVISTAR DEPORTES 5,MOVISTAR DEPORTES 5,M+ Deportes 5 (192),FHD,no
