Canal,Dial_Movistar(M),Dial_Orange(O),TV_guide_id
Movistar Plus+,7,,Movistar Plus+ HD
M+ LaLiga TV,54,110,M+ LaLiga HD
DAZN LaLiga,55,113,DAZN LaLiga HD
LaLiga TV Hypermotion,56,120,LaLiga TV Hypermotion HD
M+ LaLiga TV 2,57,112,M+ LaLiga 2 HD
DAZN LaLiga 2,58,114,DAZN LaLiga 2 HD
M+ Liga de Campeones,60,114,M+ Liga de Campeones HD
M+ Liga de Campeones 2,61,116,M+ Liga de Campeones 2 HD
DAZN 1,70,113,DAZN HD
DAZN 2,71,114,DAZN 2 HD
M+ LaLiga TV 3,167,118,M+ LaLiga 3 HD
M+ LaLiga TV 4,168,119,M+ LaLiga 4
DAZN LaLiga 3,172,115,DAZN LaLiga 3 HD
LaLiga TV Hypermotion 2,177,121,LaLiga TV Hypermotion 2
LaLiga TV Hypermotion 3,178,122,LaLiga TV Hypermotion 3
LaLiga TV Hypermotion 4,179,123,LaLiga TV Hypermotion 4
M+ Liga de Campeones 3,180,127,M+ Liga de Campeones 3 HD
M+ Liga de Campeones 4,181,128,M+ Liga de Campeones 4
M+ Liga de Campeones 5,182,129,M+ Liga de Campeones 5
M+ Liga de Campeones 6,183,130,M+ Liga de Campeones 6
DAZN 3,186,,DAZN 3 HD
DAZN 4,197,,DAZN 4 HD
