id;import_date;name_original;name_new;iptv_epg_id_original;iptv_epg_id_new;iptv_group_original;iptv_group_new;FHD;iptv_url;activo
1;2025-03-17 12:18:44.906;#VAMOS FHD --> NEW ERA II;M+ Vamos;M+ Vamos HD;M+ Vamos HD;MOVISTAR;MOVISTAR;1;http://127.0.0.1:6878/ace/getstream?id=c6b52ffb3b84836d334569204797d88bf15d48fa;1
2;2025-03-17 12:18:44.906;#VAMOS ELLAS  FHD --> NEW ERA II;M+ Vamos Ellas;M+ Vamos HD;M+ Ellas Vamos HD;MOVISTAR;MOVISTAR;1;http://127.0.0.1:6878/ace/getstream?id=af636e7b1747cf868eedf242b96bd98f8fbbed4f;1
3;2025-03-17 12:18:44.906;DAZN F1 FHD --> NEW ERA II;;DAZN F1 HD;;FORMULA 1;;1;http://127.0.0.1:6878/ace/getstream?id=c367738691c63896679e523d4c1c7933729acc7b;0
4;2025-03-17 12:18:44.906;LALIGA HYPERMOTION TV FHD --> NEW ERA II;LaLiga TV Hyp;LaLiga TV Hypermotion HD;LaLiga TV Hypermotion HD;HYPERMOTION;SEGUNDA+1RFEF;1;http://127.0.0.1:6878/ace/getstream?id=4e066df67d118f95b41f850869abdc663c515186;1
5;2025-03-17 12:18:44.906;EUROSPORT 2 FHD --> NEW ERA II;;Eurosport 1 HD;;EUROSPORT;;1;http://127.0.0.1:6878/ace/getstream?id=0358f9db953e5fde91c34d7ed4bc368939b49853;0
6;2025-03-17 12:18:44.906;M+ COMEDIA FHD --> NEW ERA II;;;;OTROS;;1;http://127.0.0.1:6878/ace/getstream?id=bed9a9fc8e9d07a65591c0e8c31cb558a029f985;0
7;2025-03-17 12:18:44.906;FOX FHD --> NEW ERA II;;;;OTROS;;1;http://127.0.0.1:6878/ace/getstream?id=87f3b07097a5dde0b9a22daf95a29dd4475a0595;0
8;2025-03-17 12:18:44.906;MEGA FHD --> NEW ERA II;;Mega;;OTROS;;1;http://127.0.0.1:6878/ace/getstream?id=65b66db65acc04f75701f733cab599c375bff645;0
9;2025-03-17 12:18:44.906;HOLLYWOOD FHD --> NEW ERA II;;Canal Hollywood HD;;OTROS;;1;http://127.0.0.1:6878/ace/getstream?id=5bd6122d984a90a930b2dafdedfe249eea3457e0;0
10;2025-03-17 12:18:44.906;WINTER SERIES BARCELONA --> NEW ERA II;;;;OTROS;;0;http://127.0.0.1:6878/ace/getstream?id=bf242abb254854d5b96e8c5f3cddafd8c9be1aca;0
11;2025-03-17 12:18:44.906;TWITCH HIKKI360ES --> NEW ERA II;;;;OTROS;;0;http://127.0.0.1:6878/ace/getstream?id=33f0fb5f182a731abe2d13acee8a02cdb618c8d5;0
12;2025-03-17 12:18:44.906;M.L. CAMPEONES 2;L Campeones 02;M+ Liga de Campeones 2 HD;M+ Liga de Campeones 2 HD;LIGA DE CAMPEONES;LIGA CAMPEONES;0;http://127.0.0.1:6878/ace/getstream?id=abdf9058786a48623d0de51a3adb414ae10b6e72;1
13;2025-03-17 12:18:44.906;MOVISTAR PLUS;Movistar Plus+;Movistar Plus+ HD;Movistar Plus+ HD;MOVISTAR;MOVISTAR;0;http://127.0.0.1:6878/ace/getstream?id=56ac8e227d526e722624675ccdd91b0cc850582f;1
14;2025-03-17 12:18:44.906;M DEPORTES;M+ Deportes;M+ Deportes HD;M+ Deportes HD;MOVISTAR;MOVISTAR;0;http://127.0.0.1:6878/ace/getstream?id=55d4602cb22b0d8a33c10c2c2f42dae64a9e8895;1
15;2025-03-17 12:18:44.906;M DEPORTES;M+ Deportes;M+ Deportes HD;M+ Deportes HD;MOVISTAR;MOVISTAR;0;http://127.0.0.1:6878/ace/getstream?id=3a74d9869b13e763476800740c6625e715a39879;1
16;2025-03-17 12:18:44.906;M DEPORTES 2;M+ Deportes 2;M+ Deportes 2 HD;M+ Deportes 2 HD;MOVISTAR;MOVISTAR;0;http://127.0.0.1:6878/ace/getstream?id=d8c2ed470e847154a88f011137cc206319f6bed5;1
17;2025-03-17 12:18:44.906;M DEPORTES 5;M+ Deportes 5;M+ Deportes 5;M+ Deportes 5;MOVISTAR;MOVISTAR;0;http://127.0.0.1:6878/ace/getstream?id=fcc0fd75bf1dba40b108fcf0d3514e0e549bfbac;1
18;2025-03-17 12:18:44.906;M DEPORTES 6;M+ Deportes 6;M+ Deportes 6;M+ Deportes 6;MOVISTAR;MOVISTAR;0;http://127.0.0.1:6878/ace/getstream?id=cc5782d37ae6b6e0bab396dd64074982d0879046;1
19;2025-03-17 12:18:44.906;M DEPORTES 7;M+ Deportes 7;M+ Deportes 7;M+ Deportes 7;MOVISTAR;MOVISTAR;0;http://127.0.0.1:6878/ace/getstream?id=070f82d6443a52962d6a2ed9954c979b29404932;1
20;2025-03-17 12:18:44.906;DAZN 1;DAZN 1;DAZN 1 HD;DAZN 1 HD;DAZN;DAZN;0;http://127.0.0.1:6878/ace/getstream?id=35c7f0c966ecde3390f4510bb4caded40018c07a;1
21;2025-03-17 12:18:44.906;DAZN 2;DAZN 2;DAZN 2 HD;DAZN 2 HD;DAZN;DAZN;0;http://127.0.0.1:6878/ace/getstream?id=ca923c9873fd206a41c1e83ff8fc40e3cf323c9a;1
22;2025-03-17 12:18:44.906;DAZN 2;DAZN 2;DAZN 2 HD;DAZN 2 HD;DAZN;DAZN;0;http://127.0.0.1:6878/ace/getstream?id=a929eeec1268d69d1556a2e3ace793b2577d8810;1
23;2025-03-17 12:18:44.906;M #VAMOS;M+ Vamos;M+ Vamos HD;M+ Vamos HD;MOVISTAR;MOVISTAR;0;http://127.0.0.1:6878/ace/getstream?id=d03c13b6723f66155d7a0df3692a3b073fe630f2;1
24;2025-03-17 12:18:44.906;M #VAMOS;M+ Vamos;M+ Vamos HD;M+ Vamos HD;MOVISTAR;MOVISTAR;0;http://127.0.0.1:6878/ace/getstream?id=12ba546d229bc39f01c3c18988a034b215fe6adb;1
25;2025-03-17 12:18:44.906;COPA DEL REY;M+ Copa del Rey;M+ Copa del Rey;M+ Copa del Rey;COPA DEL REY;M+ COPA;0;http://127.0.0.1:6878/ace/getstream?id=b51f2d9a15b6956a44385b6be531bcabeb099d9d;1
26;2025-03-17 12:18:44.906;EUROSPORT;;Eurosport 1 HD;;EUROSPORT;;0;http://127.0.0.1:6878/ace/getstream?id=16ffa1713f42aa27317ee039a2bd0cdbc89a1580;0
27;2025-03-17 12:18:44.906;DAZN F1 1080 (FRMULA 1);;DAZN F1 HD;;FORMULA 1;;1;http://127.0.0.1:6878/ace/getstream?id=d6281d4e6310269b416180442a470d23a4a99dc9;0
28;2025-03-17 12:18:44.906;DAZN F1 1080 (FRMULA 1);;DAZN F1 HD;;FORMULA 1;;1;http://127.0.0.1:6878/ace/getstream?id=2c6e4c897661e6b0257bfe931b66d20b2ec763b6;0
29;2025-03-17 12:18:44.906;DAZN F1 1080 (FRMULA 1);;DAZN F1 HD;;FORMULA 1;;1;http://127.0.0.1:6878/ace/getstream?id=71eef80158aa8b37f3dc59f6793c6696df9a2dfa;0
30;2025-03-17 12:18:44.906;DAZN F1 720 (FRMULA 1);;DAZN F1 HD;;FORMULA 1;;0;http://127.0.0.1:6878/ace/getstream?id=268289e7a3c5209960b53b4d43c8c65fab294b85;0
31;2025-03-17 12:18:44.906;M. LALIGA 1080P;M+ LaLiga TV;M+ LaLiga TV HD;M+ LaLiga TV HD;LA LIGA;LALIGA;1;http://127.0.0.1:6878/ace/getstream?id=94d34491106e00394835c8cb68aa94481339b53f;1
