2025-03-09 20:38:50,237 - DEBUG - Starting new HTTPS connection (1): proxy.zeronet.dev:443
2025-03-09 20:38:50,895 - DEBUG - https://proxy.zeronet.dev:443 "GET /1H3KoazXt2gCJgeD8673eFvQYXG7cbRddU/lista-ott.m3u HTTP/1.1" 200 42159
2025-03-09 20:38:51,041 - INFO - Se encontraron 178 líneas nuevas en el archivo M3U.
2025-03-09 20:38:51,041 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="" tvg-id="" group-title="OTROS", M+ Bar FHD --> NEW ERA II
2025-03-09 20:38:51,041 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/CV4CLjz/deportes.png" tvg-id="M+ Deportes HD" group-title="MOVISTAR", M+ DEPORTES FHD --> NEW ERA II
2025-03-09 20:38:51,041 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/gWMRpFB/vamos.png" tvg-id="M+ Vamos HD" group-title="MOVISTAR", #VAMOS FHD --> NEW ERA II
2025-03-09 20:38:51,041 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/gWMRpFB/vamos.png" tvg-id="M+ Vamos HD" group-title="MOVISTAR", #VAMOS ELLAS  FHD --> NEW ERA II
2025-03-09 20:38:51,041 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/2Ndmtbp/f1.png" tvg-id="DAZN F1 HD" group-title="FORMULA 1", DAZN F1 FHD --> NEW ERA II
2025-03-09 20:38:51,041 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/davidmuma/picons_dobleM/master/icon/M%2B%20Liga%20de%20Campeones.png" tvg-id="M+ Liga de Campeones HD" group-title="LIGA DE CAMPEONES", M+ LIGA DE CAMPEONES FHD --> NEW ERA II
2025-03-09 20:38:51,041 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/CBdGc9f/hypermotion1.png" tvg-id="LaLiga TV Hypermotion HD" group-title="HYPERMOTION", LALIGA HYPERMOTION TV FHD --> NEW ERA II
2025-03-09 20:38:51,041 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/r2Yd7xD/euro1.png" tvg-id="Eurosport 1 HD" group-title="EUROSPORT", EUROSPORT 2 FHD --> NEW ERA II
2025-03-09 20:38:51,041 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="" tvg-id="" group-title="OTROS", M+ COMEDIA FHD --> NEW ERA II
2025-03-09 20:38:51,041 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="" tvg-id="" group-title="OTROS", FOX FHD --> NEW ERA II
