Hora,Competicion,Evento,Canales,Eventos_Acestream,Deporte
00:00,NBA | Liga Regular,Charlotte Hornets Atlanta Hawks,MOVISTAR DEPORTES --> ELCANO,55d4602cb22b0d8a33c10c2c2f42dae64a9e8895,baloncesto
00:00,NBA | Liga Regular,Charlotte Hornets Atlanta Hawks,MOVISTAR DEPORTES --> ELCANO,3a74d9869b13e763476800740c6625e715a39879,baloncesto
00:00,NBA | Liga Regular,Charlotte Hornets Atlanta Hawks,MOVISTAR DEPORTES FHD --> NEW ERA,0f771c30336a0506c74f4aa86762edcb94d21fac,baloncesto
00:00,NBA | Liga Regular,Charlotte Hornets Atlanta Hawks,MOVISTAR DEPORTES FHD --> NEW ERA,a8745bd07dc60413a4fc05caf2cabbfb11952232,baloncesto
00:00,NBA | Liga Regular,Charlotte Hornets Atlanta Hawks,MOVISTAR DEPORTES FHD --> NEW ERA,fe134ae09f9643ea9bfdd75ff1f121ba8c58e5c1,baloncesto
00:00,NBA | Liga Regular,Charlotte Hornets Atlanta Hawks,MOVISTAR DEPORTES HD --> NEW LOOP,acb510858f34c3c6fd5f79395b031abd6885c2b3,baloncesto
12:15,Nokere Koerse,Carrera Femenina Deinze › Nokere (132 km),EUROSPORT 2 FHD --> NEW ERA,8e9390c1647da151a7bc0e1b37c4b4d21d83049d,ciclismo
12:15,Nokere Koerse,Carrera Femenina Deinze › Nokere (132 km),EUROSPORT 2 FHD --> NEW ERA II,0358f9db953e5fde91c34d7ed4bc368939b49853,ciclismo
14:20,Clásica Milán-Turín,UCI ProSeries Rho › Torino (Superga) (174 km),EUROSPORT 2 FHD --> NEW ERA,8e9390c1647da151a7bc0e1b37c4b4d21d83049d,ciclismo
14:20,Clásica Milán-Turín,UCI ProSeries Rho › Torino (Superga) (174 km),EUROSPORT 2 FHD --> NEW ERA II,0358f9db953e5fde91c34d7ed4bc368939b49853,ciclismo
16:00,Masters Miami | 1ª Ronda,A. Bublik S. Báez,MOVISTAR DEPORTES 2 --> ELCANO,d8c2ed470e847154a88f011137cc206319f6bed5,tenis
16:00,Masters Miami | 1ª Ronda,A. Bublik S. Báez,MOVISTAR DEPORTES 2 FHD --> NEW ERA,d225087e30f6efe4c6d9b5ae3c2f3829368cd637,tenis
17:00,WTA Miami | 1ª Ronda,S. Ishii E. Raducanu,TENNIS CHANNEL --> NEW LOOP,8091334c82e8720fc6aa05ff0bd6d343c5bfecbf,tenis
17:30,Masters Miami | 1ª Ronda,C. Tseng M. Bellucci,MOVISTAR DEPORTES 4 FHD --> NEW ERA,23d1bcceacb7606d4ee6deaf9e6034c54eeedd2f,tenis
18:30,Masters Miami | 1ª Ronda,G. Monfils F. Marozsan,MOVISTAR DEPORTES 2 --> ELCANO,d8c2ed470e847154a88f011137cc206319f6bed5,tenis
18:30,Masters Miami | 1ª Ronda,G. Monfils F. Marozsan,MOVISTAR DEPORTES 2 FHD --> NEW ERA,d225087e30f6efe4c6d9b5ae3c2f3829368cd637,tenis
18:45,Champions League Femenina | 1/4 de Final,Wolfsburg Femenino FC Barcelona Femenino,MOVISTAR ELLAS FHD --> NEW ERA,e2d26332bf1aa59aec7e3cbe9ed4689df44ae368,futbol
18:45,Champions League Femenina | 1/4 de Final,Wolfsburg Femenino FC Barcelona Femenino,MOVISTAR ELLAS FHD --> NEW ERA II,af636e7b1747cf868eedf242b96bd98f8fbbed4f,futbol
18:45,Champions League Femenina | 1/4 de Final,Wolfsburg Femenino FC Barcelona Femenino,DAZN 1 --> ELCANO,35c7f0c966ecde3390f4510bb4caded40018c07a,futbol
18:45,Champions League Femenina | 1/4 de Final,Wolfsburg Femenino FC Barcelona Femenino,DAZN 1 --> NEW LOOP,d5b2c6b940cf3df5e8f9dc6f000f0ea23a10b151,futbol
18:45,Champions League Femenina | 1/4 de Final,Wolfsburg Femenino FC Barcelona Femenino,DAZN 1 BAR FHD --> NEW ERA,ec10963a4408f96d2089a29af8b7a8ac4b23dd3c,futbol
18:45,Champions League Femenina | 1/4 de Final,Wolfsburg Femenino FC Barcelona Femenino,DAZN 1 BAR FHD --> NEW ERA,91cf774bfbdc3a7e3b18cffe0e6ca39a957e96b6,futbol
18:45,Champions League Femenina | 1/4 de Final,Wolfsburg Femenino FC Barcelona Femenino,DAZN 1 FHD --> NEW ERA,e6a00cb2912609dceeeee88d3f66a2de9718b421,futbol
