Hora,Competicion,Evento,Canales,Eventos_Acestream
18:00,NCAA | Bowl,Texas Tech Oregon,Deporte 1080,ebca4a63ce3bfda7b272964a1acc5227218184a4
18:00,NCAA | Bowl,Texas Tech Oregon,Deporte 720,2f3cfd199a49819cbd129689a840dc3d23ab93aa
18:00,NCAA | Bowl,Texas Tech Oregon,MOVISTAR DEPORTES FHD --> NEW ERA,ef9dcc4eaac36a0f608b52a31f8ab237859e071a
18:00,NCAA | Bowl,Texas Tech Oregon,MOVISTAR DEPORTES FHD --> NEW ERA,332d8fdeb9c51385230b8c9448e047ccc4a6355d
18:00,NCAA | Bowl,Texas Tech Oregon,MOVISTAR DEPORTES FHD --> NEW ERA,f828a32d8ea03a3cabd3ce3ebecb249ec111c7e5
18:00,NCAA | Bowl,Texas Tech Oregon,MOVISTAR DEPORTES FHD --> NEW ERA VI,5d3f582738467aaf213e408601aca5cc13fa9359
18:00,NCAA | Bowl,Texas Tech Oregon,MOVISTAR DEPORTES FHD --> NEW ERA VI,3692ea4cdda97eb0062ed5d656ebd61f149ebd0b
22:00,NCAA | Bowl,Indiana Hoosiers Alabama Athletics,Deporte 1080,ebca4a63ce3bfda7b272964a1acc5227218184a4
22:00,NCAA | Bowl,Indiana Hoosiers Alabama Athletics,Deporte 720,2f3cfd199a49819cbd129689a840dc3d23ab93aa
22:00,NCAA | Bowl,Indiana Hoosiers Alabama Athletics,MOVISTAR DEPORTES FHD --> NEW ERA,ef9dcc4eaac36a0f608b52a31f8ab237859e071a
22:00,NCAA | Bowl,Indiana Hoosiers Alabama Athletics,MOVISTAR DEPORTES FHD --> NEW ERA,332d8fdeb9c51385230b8c9448e047ccc4a6355d
22:00,NCAA | Bowl,Indiana Hoosiers Alabama Athletics,MOVISTAR DEPORTES FHD --> NEW ERA,f828a32d8ea03a3cabd3ce3ebecb249ec111c7e5
22:00,NCAA | Bowl,Indiana Hoosiers Alabama Athletics,MOVISTAR DEPORTES FHD --> NEW ERA VI,5d3f582738467aaf213e408601aca5cc13fa9359
22:00,NCAA | Bowl,Indiana Hoosiers Alabama Athletics,MOVISTAR DEPORTES FHD --> NEW ERA VI,3692ea4cdda97eb0062ed5d656ebd61f149ebd0b
